"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,1.878381839,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,0.607089093,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,1.712310704,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,0.90776255,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,0.611741371,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,1.258446092,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BRA","Brazil",2022,3.258358055,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,1.077391971,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,0.414963578,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,1.375814294,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,3.183162048,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,3.353577675,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,1.736340225,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,3.41562091,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,2.369122354,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,3.143656004,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,1.631720321,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2021,0.845975848,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,2.769539168,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GMB","Gambia, The",2018,0.917695557,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,0.65341979,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,1.357527496,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GIN","Guinea",2018,1.226528566,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GNB","Guinea-Bissau",2018,1.795541462,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","HTI","Haiti",2017,1.463229137,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","IDN","Indonesia",2019,0.493165466,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,1.051773805,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,2.077234072,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LSO","Lesotho",2017,1.939234177,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LBR","Liberia",2016,1.645099902,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MWI","Malawi",2019,1.440638172,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MDV","Maldives",2009,4.519143206,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MLI","Mali",2018,1.0117694,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MRT","Mauritania",2021,1.758711129,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MUS","Mauritius",2011,0.7861861,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MEX","Mexico",2020,1.983390068,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MNG","Mongolia",2020,1.783421315,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MAR","Morocco",2014,2.081580416,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MMR","Myanmar",2014,0.479789542,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NAM","Namibia",2015,1.602073286,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NPL","Nepal",2022,1.483115821,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NER","Niger",2018,1.476073188,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NGA","Nigeria",2018,0.583989171,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PAK","Pakistan",2020,1.324535672,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PHL","Philippines",2020,0.442439937,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","RWA","Rwanda",2021,1.543983633,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SEN","Senegal",2018,1.341718479,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SLE","Sierra Leone",2018,1.421036355,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SOM","Somalia",2022,1.080272726,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZAF","South Africa",2016,1.779884272,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LKA","Sri Lanka",2021,1.018813169,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SUR","Suriname",2012,0.790201501,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TJK","Tajikistan",2016,1.202393617,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TZA","Tanzania",2020,0.987746944,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TLS","Timor-Leste",2016,0.517089835,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TGO","Togo",2018,2.23626349,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TON","Tonga",2016,1.649525316,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","UGA","Uganda",2016,2.949947647,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","URY","Uruguay",2011,1.789168279,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VUT","Vanuatu",2009,0.334923539,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VNM","Viet Nam",2019,0.890704415,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PSE","West Bank and Gaza",2009,1.400212532,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZMB","Zambia",2020,0.629793362,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_1529","Prevalence of Persons aged 15 to 29 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZWE","Zimbabwe",2017,0.739756092,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","AFG","Afghanistan",2016,3.783019376,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BGD","Bangladesh",2016,0.788959565,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BEN","Benin",2018,2.995947122,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BTN","Bhutan",2017,1.651897931,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BOL","Bolivia",2021,0.537178659,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BIH","Bosnia and Herzegovina",2015,2.926998535,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BRA","Brazil",2022,4.519202614,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BFA","Burkina Faso",2018,2.248027293,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","KHM","Cambodia",2019,0.557105365,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","KHM","Cambodia",2022,1.716844754,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","TCD","Chad",2018,5.47254309,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","CHL","Chile",2017,4.2380171,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","COL","Colombia",2022,2.309282609,"Percent"
"Prevalence","al_alot_dfcl","Persons (15+ years) with disabilities (non-adjusted, % of population group)","al_alot_dfcl_3044","Prevalence of Persons aged 30 to 44 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 30 to 44 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","COM","Comoros",2020,4.156715594,"Percent"
