"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","AFG","Afghanistan",2016,57.99511241,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BGD","Bangladesh",2016,57.70790509,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BEN","Benin",2018,30.41458629,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BTN","Bhutan",2017,43.10502315,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BRA","Brazil",2022,35.31567229,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BFA","Burkina Faso",2018,36.80115725,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KHM","Cambodia",2019,42.66978447,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","TCD","Chad",2018,26.58468102,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","CHL","Chile",2017,23.81654672,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","COL","Colombia",2022,60.24891956,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","COM","Comoros",2020,32.05339112,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","CIV","Cote d'Ivoire",2018,22.24697162,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","DJI","Djibouti",2017,54.60111324,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","ETH","Ethiopia",2021,52.62727835,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GAB","Gabon",2017,36.51662811,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GMB","Gambia, The",2018,56.73573061,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GHA","Ghana",2021,51.21956613,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GTM","Guatemala",2018,47.77402085,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GIN","Guinea",2018,33.37086103,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","GNB","Guinea-Bissau",2018,24.73831471,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","IDN","Indonesia",2019,76.40567137,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KEN","Kenya",2019,11.86256065,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KIR","Kiribati",2020,55.69948187,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","LSO","Lesotho",2017,46.57664409,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","LBR","Liberia",2016,33.65699253,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MWI","Malawi",2019,28.48058612,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MLI","Mali",2018,41.6904882,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MUS","Mauritius",2011,64.18918919,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MEX","Mexico",2020,49.48614388,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MNG","Mongolia",2020,46.75324675,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MAR","Morocco",2014,75.71725572,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","MMR","Myanmar",2014,70.99431317,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","NAM","Namibia",2015,47.83983418,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","NER","Niger",2018,30.85613897,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","PAK","Pakistan",2020,71.84378718,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","RWA","Rwanda",2021,75.06305056,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","SEN","Senegal",2018,47.70291777,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","SLE","Sierra Leone",2018,20.59561882,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","SOM","Somalia",2022,75.56297465,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","ZAF","South Africa",2011,40.17862531,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","LKA","Sri Lanka",2021,75.37832357,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","SUR","Suriname",2012,50,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","TZA","Tanzania",2020,55.92396125,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","TGO","Togo",2018,34.15086034,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","TON","Tonga",2016,30.03533569,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","UGA","Uganda",2014,21.0373317,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","URY","Uruguay",2011,48.8,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","VUT","Vanuatu",2009,58.62068966,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","VNM","Viet Nam",2019,71.03394793,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","PSE","West Bank and Gaza",2009,59.8564745,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","ZMB","Zambia",2020,58.47672849,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_all","Youth idle rate (% of Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","ZWE","Zimbabwe",2017,42.88815792,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","AFG","Afghanistan",2016,83.65746663,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","BGD","Bangladesh",2016,81.50530441,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","BEN","Benin",2018,27.05939561,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","BRA","Brazil",2022,35.78184291,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","KHM","Cambodia",2019,41.43552827,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","TCD","Chad",2018,31.52810813,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","CHL","Chile",2017,21.13362756,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","COL","Colombia",2022,59.0760819,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","COM","Comoros",2020,29.6741941,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","CIV","Cote d'Ivoire",2018,24.71117727,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","DJI","Djibouti",2017,61.96754529,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","ETH","Ethiopia",2021,51.69743213,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","GAB","Gabon",2017,31.93229084,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","GHA","Ghana",2021,52.26441971,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","GTM","Guatemala",2018,55.70702629,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","GNB","Guinea-Bissau",2018,37.04290507,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","IDN","Indonesia",2019,78.54221848,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","KEN","Kenya",2019,13.05053785,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","KIR","Kiribati",2020,58.1920904,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","LBR","Liberia",2016,41.45567975,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MWI","Malawi",2019,28.47230594,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MLI","Mali",2018,42.99581921,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MUS","Mauritius",2011,65.07936508,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MEX","Mexico",2020,53.14988833,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MAR","Morocco",2014,79.50734838,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","MMR","Myanmar",2014,77.22869824,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","NAM","Namibia",2015,43.71289366,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","PAK","Pakistan",2020,85.72706388,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","RWA","Rwanda",2021,73.24886488,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","SEN","Senegal",2018,59.22949324,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","SLE","Sierra Leone",2018,22.55984208,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","ZAF","South Africa",2011,40.81527031,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","LKA","Sri Lanka",2021,77.8918893,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","TZA","Tanzania",2020,47.75816178,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","TGO","Togo",2018,34.08305459,"Percent"
"Employment and Time Use","ytil","Young Persons (15 to 24 years) not in employment, education, or training (% of population group with relevant disability category)","ytil_al_alot_dfcl_fem","Youth idle rate (% of female Persons with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Sex","At least a lot of difficulty","Female","All","All","All","TON","Tonga",2016,31.81818182,"Percent"
