"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","AFG","Afghanistan",2016,5.206910586,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BGD","Bangladesh",2016,2.204936028,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BEN","Benin",2018,7.031514941,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BTN","Bhutan",2017,4.729021108,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BOL","Bolivia",2021,2.01590263,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BIH","Bosnia and Herzegovina",2015,4.38542795,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BRA","Brazil",2022,13.97065674,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","BFA","Burkina Faso",2018,3.313194442,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","KHM","Cambodia",2019,1.160463298,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TCD","Chad",2018,9.073595256,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","CHL","Chile",2017,9.900584539,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","COL","Colombia",2022,6.303777438,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","COM","Comoros",2020,7.042619224,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","CIV","Cote d'Ivoire",2018,8.258967282,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","DJI","Djibouti",2017,4.121725585,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","SWZ","Eswatini",2016,10.01715164,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","ETH","Ethiopia",2021,2.156101261,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GAB","Gabon",2017,10.26204576,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GMB","Gambia, The",2018,4.532693421,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GHA","Ghana",2021,3.907815684,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GTM","Guatemala",2018,4.817394767,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GIN","Guinea",2018,5.786692902,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","GNB","Guinea-Bissau",2018,6.51878747,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","HTI","Haiti",2017,7.914707595,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","IDN","Indonesia",2019,1.488768749,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","KEN","Kenya",2019,5.487946824,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","KIR","Kiribati",2020,9.915558393,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","LSO","Lesotho",2017,8.039833146,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","LBR","Liberia",2016,6.649720697,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MWI","Malawi",2019,7.839040093,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MDV","Maldives",2009,12.72122058,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MLI","Mali",2018,6.537745587,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MRT","Mauritania",2021,8.375099017,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MUS","Mauritius",2011,1.260471184,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MEX","Mexico",2020,6.89319914,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MNG","Mongolia",2020,4.420743225,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MAR","Morocco",2014,4.017127244,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","MMR","Myanmar",2014,1.268900643,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","NAM","Namibia",2015,8.998123204,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","NPL","Nepal",2022,9.497282956,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","NER","Niger",2018,3.618938848,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","NGA","Nigeria",2018,1.498696798,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","PAK","Pakistan",2020,2.431182349,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","PHL","Philippines",2020,2.028712117,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","RWA","Rwanda",2021,2.645397933,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","SEN","Senegal",2018,5.805791966,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","SLE","Sierra Leone",2018,3.18102224,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","SOM","Somalia",2022,4.067831219,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","ZAF","South Africa",2016,7.144527982,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","LKA","Sri Lanka",2021,1.988883236,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","SUR","Suriname",2012,4.92894608,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TJK","Tajikistan",2016,5.523637919,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TZA","Tanzania",2020,3.380382086,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TLS","Timor-Leste",2016,3.032285248,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TGO","Togo",2018,7.738341951,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","TON","Tonga",2016,2.831769446,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","UGA","Uganda",2016,16.74951904,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","URY","Uruguay",2011,6.285475072,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","VUT","Vanuatu",2009,3.922641838,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","VNM","Viet Nam",2019,2.449830567,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","PSE","West Bank and Gaza",2009,2.862044727,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","ZMB","Zambia",2020,2.739272005,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 24","All","ZWE","Zimbabwe",2017,3.527024992,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","AFG","Afghanistan",2016,9.201292639,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BGD","Bangladesh",2016,2.659161387,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BEN","Benin",2018,10.07010034,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BTN","Bhutan",2017,6.145173457,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BOL","Bolivia",2021,2.122163354,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BIH","Bosnia and Herzegovina",2015,4.952233139,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BRA","Brazil",2022,15.93959877,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","BFA","Burkina Faso",2018,4.77622716,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","TCD","Chad",2018,16.50518047,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","CHL","Chile",2017,9.184391924,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","COL","Colombia",2022,7.195448185,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","COM","Comoros",2020,8.327781165,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","CIV","Cote d'Ivoire",2018,10.68956836,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","DJI","Djibouti",2017,6.253182468,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","SWZ","Eswatini",2016,13.3257481,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","ETH","Ethiopia",2021,2.941563475,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","GAB","Gabon",2017,13.01110849,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","GMB","Gambia, The",2018,6.152126063,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","GHA","Ghana",2021,3.937182804,"Percent"
"Prevalence","adj_any_dfcl","Persons (15+ years) with any degree of difficulty (adjusted, % of population group)","adj_any_dfcl_2534","Adjusted prevalence of Persons aged 25 to 34 years with any degree of functional difficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Age","Any difficulty","All","All","25 to 34","All","GTM","Guatemala",2018,6.054220095,"Percent"
