"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","AFG","Afghanistan",2016,0.433386992,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BGD","Bangladesh",2016,0.309425903,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BEN","Benin",2018,0.098508757,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BTN","Bhutan",2017,0.516858243,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BOL","Bolivia",2021,0.286827765,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BIH","Bosnia and Herzegovina",2015,0.684951474,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BRA","Brazil",2022,0.736565982,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","BFA","Burkina Faso",2018,0.337467169,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","KHM","Cambodia",2019,0.150338232,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TCD","Chad",2018,0.964253657,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","CHL","Chile",2017,0.777949691,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","COL","Colombia",2022,0.557397446,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","COM","Comoros",2020,2.270493523,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","CIV","Cote d'Ivoire",2018,0.579194642,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","DJI","Djibouti",2017,2.195155037,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","SWZ","Eswatini",2016,0.080065825,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","ETH","Ethiopia",2021,0.270087795,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GAB","Gabon",2017,0.742646923,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GMB","Gambia, The",2018,0.462019862,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GHA","Ghana",2021,0.204895285,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GTM","Guatemala",2018,0.575096349,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GIN","Guinea",2018,0.365457153,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","GNB","Guinea-Bissau",2018,0.485889347,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","HTI","Haiti",2017,0.395816144,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","IDN","Indonesia",2019,0.331470131,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","KEN","Kenya",2019,0.238049376,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","KIR","Kiribati",2020,0.740580779,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","LSO","Lesotho",2017,0.302612771,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","LBR","Liberia",2016,1.263320375,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MWI","Malawi",2019,0.558384334,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MDV","Maldives",2009,1.000562989,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MLI","Mali",2018,0.325207963,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MRT","Mauritania",2021,0.484901238,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MUS","Mauritius",2011,0.277694744,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MEX","Mexico",2020,0.578003183,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MNG","Mongolia",2020,0.352849631,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","MAR","Morocco",2014,0.81243585,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","NAM","Namibia",2015,0.414336722,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","NPL","Nepal",2022,0.771193112,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","NER","Niger",2018,0.431829017,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","NGA","Nigeria",2018,0.086777087,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","PAK","Pakistan",2020,0.606326989,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","PHL","Philippines",2020,0.200136515,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","RWA","Rwanda",2021,0.292447499,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","SEN","Senegal",2018,0.341917346,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","SLE","Sierra Leone",2018,0.816546754,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","SOM","Somalia",2022,0.203985475,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","ZAF","South Africa",2016,0.422177628,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","LKA","Sri Lanka",2021,0.476799135,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","SUR","Suriname",2012,0.119728144,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TJK","Tajikistan",2016,0.465678964,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TZA","Tanzania",2020,0.376510422,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TLS","Timor-Leste",2016,0.181256055,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TGO","Togo",2018,0.603347774,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","TON","Tonga",2016,0.81312649,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","UGA","Uganda",2016,0.526759537,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","VNM","Viet Nam",2019,0.455236116,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","PSE","West Bank and Gaza",2009,0.469609541,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","ZMB","Zambia",2020,0.21399012,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","communication","ZWE","Zimbabwe",2017,0.171152658,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","AFG","Afghanistan",2016,0.345295009,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BGD","Bangladesh",2016,0.182557687,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BEN","Benin",2018,0.232520828,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BTN","Bhutan",2017,0.480363655,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BOL","Bolivia",2021,0.117127524,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BIH","Bosnia and Herzegovina",2015,0.860186989,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BRA","Brazil",2022,0.603392643,"Percent"
"Prevalence","adj_al_alot_dfcl_comm","Persons (15+ years) with communication disabilities (adjusted, % of population group)","adj_al_alot_dfcl_comm_2534","Adjusted prevalence of Persons aged 25 to 34 years with communication disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 25 to 34 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","25 to 34","communication","BFA","Burkina Faso",2018,0.876307258,"Percent"
